BraTS-MEN-RT-0011-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0074-1 shapes → img: (250, 250, 204), bet: (250, 250, 204), gtv: (250, 250, 204)
BraTS-MEN-RT-0076-1 shapes → img: (250, 250, 183), bet: (250, 250, 183), gtv: (250, 250, 183)
BraTS-MEN-RT-0077-1 shapes → img: (380, 380, 281), bet: (380, 380, 281), gtv: (380, 380, 281)
BraTS-MEN-RT-0078-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0079-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0080-1 shapes → img: (280, 280, 164), bet: (280, 280, 164), gtv: (280, 280, 164)
BraTS-MEN-RT-0081-1 shapes → img: (260, 260, 168), bet: (260, 260, 168), gtv: (260, 260, 168)
BraTS-MEN-RT-0082-1 shapes → img: (380, 380, 290), bet: (380, 380, 290), gtv: (380, 380, 290)
BraTS-MEN-RT-0084-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0085-1 shapes → img: (240, 240, 148), bet: (240, 240, 148), gtv: (240, 240, 148)
BraTS-MEN-RT-0088-1 shapes → img: (260, 260, 241), bet: (260, 260, 241), gtv: (260, 260, 241)
BraTS-MEN-RT-0089-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0091-1 shapes → img: (259, 259, 192), bet: (259, 259, 192), gtv: (259, 259, 192)
BraTS-MEN-RT-0093-1 shapes → img: (260, 260, 184), bet: (260, 260, 184), gtv: (260, 260, 184)
BraTS-MEN-RT-0094-1 shapes → img: (380, 380, 312), bet: (380, 380, 312), gtv: (380, 380, 312)
BraTS-MEN-RT-0097-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0099-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0101-1 shapes → img: (240, 240, 188), bet: (240, 240, 188), gtv: (240, 240, 188)
BraTS-MEN-RT-0102-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0103-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0104-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0105-1 shapes → img: (380, 380, 205), bet: (380, 380, 205), gtv: (380, 380, 205)
BraTS-MEN-RT-0106-1 shapes → img: (259, 259, 180), bet: (259, 259, 180), gtv: (259, 259, 180)
BraTS-MEN-RT-0107-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0110-1 shapes → img: (220, 220, 148), bet: (220, 220, 148), gtv: (220, 220, 148)
BraTS-MEN-RT-0112-1 shapes → img: (259, 260, 175), bet: (259, 260, 175), gtv: (259, 260, 175)
BraTS-MEN-RT-0113-1 shapes → img: (260, 260, 158), bet: (260, 260, 158), gtv: (260, 260, 158)
BraTS-MEN-RT-0114-1 shapes → img: (260, 260, 162), bet: (260, 260, 162), gtv: (260, 260, 162)
BraTS-MEN-RT-0116-1 shapes → img: (259, 259, 173), bet: (259, 259, 173), gtv: (259, 259, 173)
BraTS-MEN-RT-0117-1 shapes → img: (250, 250, 193), bet: (250, 250, 193), gtv: (250, 250, 193)
BraTS-MEN-RT-0119-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0120-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0122-1 shapes → img: (260, 260, 180), bet: (260, 260, 180), gtv: (260, 260, 180)
BraTS-MEN-RT-0124-1 shapes → img: (240, 240, 179), bet: (240, 240, 179), gtv: (240, 240, 179)
BraTS-MEN-RT-0125-1 shapes → img: (259, 259, 192), bet: (259, 259, 192), gtv: (259, 259, 192)
BraTS-MEN-RT-0126-1 shapes → img: (260, 260, 180), bet: (260, 260, 180), gtv: (260, 260, 180)
BraTS-MEN-RT-0127-1 shapes → img: (250, 250, 187), bet: (250, 250, 187), gtv: (250, 250, 187)
BraTS-MEN-RT-0128-1 shapes → img: (260, 260, 187), bet: (260, 260, 187), gtv: (260, 260, 187)
BraTS-MEN-RT-0129-1 shapes → img: (250, 250, 194), bet: (250, 250, 194), gtv: (250, 250, 194)
BraTS-MEN-RT-0130-1 shapes → img: (260, 260, 168), bet: (260, 260, 168), gtv: (260, 260, 168)
BraTS-MEN-RT-0131-1 shapes → img: (260, 260, 164), bet: (260, 260, 164), gtv: (260, 260, 164)
BraTS-MEN-RT-0132-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0134-1 shapes → img: (260, 260, 184), bet: (260, 260, 184), gtv: (260, 260, 184)
BraTS-MEN-RT-0136-1 shapes → img: (260, 260, 164), bet: (260, 260, 164), gtv: (260, 260, 164)
BraTS-MEN-RT-0137-1 shapes → img: (380, 380, 329), bet: (380, 380, 329), gtv: (380, 380, 329)
BraTS-MEN-RT-0140-1 shapes → img: (260, 260, 170), bet: (260, 260, 170), gtv: (260, 260, 170)
BraTS-MEN-RT-0141-1 shapes → img: (265, 265, 179), bet: (265, 265, 179), gtv: (265, 265, 179)
BraTS-MEN-RT-0142-1 shapes → img: (380, 380, 207), bet: (380, 380, 207), gtv: (380, 380, 207)
BraTS-MEN-RT-0143-1 shapes → img: (250, 250, 184), bet: (250, 250, 184), gtv: (250, 250, 184)
BraTS-MEN-RT-0144-1 shapes → img: (260, 260, 162), bet: (260, 260, 162), gtv: (260, 260, 162)
BraTS-MEN-RT-0146-1 shapes → img: (259, 259, 173), bet: (259, 259, 173), gtv: (259, 259, 173)
BraTS-MEN-RT-0147-1 shapes → img: (250, 250, 178), bet: (250, 250, 178), gtv: (250, 250, 178)
BraTS-MEN-RT-0148-1 shapes → img: (162, 256, 256), bet: (162, 256, 256), gtv: (162, 256, 256)
BraTS-MEN-RT-0149-1 shapes → img: (260, 260, 176), bet: (260, 260, 176), gtv: (260, 260, 176)
BraTS-MEN-RT-0150-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0151-1 shapes → img: (250, 250, 206), bet: (250, 250, 206), gtv: (250, 250, 206)
BraTS-MEN-RT-0153-1 shapes → img: (380, 380, 309), bet: (380, 380, 309), gtv: (380, 380, 309)
BraTS-MEN-RT-0154-1 shapes → img: (260, 260, 150), bet: (260, 260, 150), gtv: (260, 260, 150)
BraTS-MEN-RT-0155-1 shapes → img: (260, 260, 162), bet: (260, 260, 162), gtv: (260, 260, 162)
BraTS-MEN-RT-0156-1 shapes → img: (260, 260, 205), bet: (260, 260, 205), gtv: (260, 260, 205)
BraTS-MEN-RT-0157-1 shapes → img: (250, 250, 186), bet: (250, 250, 186), gtv: (250, 250, 186)
BraTS-MEN-RT-0158-1 shapes → img: (229, 229, 231), bet: (229, 229, 231), gtv: (229, 229, 231)
BraTS-MEN-RT-0159-1 shapes → img: (250, 250, 165), bet: (250, 250, 165), gtv: (250, 250, 165)
BraTS-MEN-RT-0160-1 shapes → img: (380, 380, 298), bet: (380, 380, 298), gtv: (380, 380, 298)
BraTS-MEN-RT-0161-1 shapes → img: (191, 236, 140), bet: (191, 236, 140), gtv: (191, 236, 140)
BraTS-MEN-RT-0166-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0167-1 shapes → img: (380, 380, 351), bet: (380, 380, 351), gtv: (380, 380, 351)
BraTS-MEN-RT-0168-1 shapes → img: (260, 260, 184), bet: (260, 260, 184), gtv: (260, 260, 184)
BraTS-MEN-RT-0171-1 shapes → img: (265, 265, 180), bet: (265, 265, 180), gtv: (265, 265, 180)
BraTS-MEN-RT-0173-1 shapes → img: (239, 240, 187), bet: (239, 240, 187), gtv: (239, 240, 187)
BraTS-MEN-RT-0174-1 shapes → img: (380, 380, 289), bet: (380, 380, 289), gtv: (380, 380, 289)
BraTS-MEN-RT-0175-1 shapes → img: (380, 380, 286), bet: (380, 380, 286), gtv: (380, 380, 286)
BraTS-MEN-RT-0176-1 shapes → img: (260, 260, 170), bet: (260, 260, 170), gtv: (260, 260, 170)
BraTS-MEN-RT-0177-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0178-1 shapes → img: (380, 380, 283), bet: (380, 380, 283), gtv: (380, 380, 283)
BraTS-MEN-RT-0179-1 shapes → img: (260, 260, 149), bet: (260, 260, 149), gtv: (260, 260, 149)
BraTS-MEN-RT-0180-1 shapes → img: (255, 256, 258), bet: (255, 256, 258), gtv: (255, 256, 258)
BraTS-MEN-RT-0181-1 shapes → img: (250, 250, 199), bet: (250, 250, 199), gtv: (250, 250, 199)
BraTS-MEN-RT-0184-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0185-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0188-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0189-1 shapes → img: (256, 256, 258), bet: (256, 256, 258), gtv: (256, 256, 258)
BraTS-MEN-RT-0190-1 shapes → img: (269, 269, 180), bet: (269, 269, 180), gtv: (269, 269, 180)
BraTS-MEN-RT-0191-1 shapes → img: (260, 260, 172), bet: (260, 260, 172), gtv: (260, 260, 172)
BraTS-MEN-RT-0192-1 shapes → img: (260, 260, 150), bet: (260, 260, 150), gtv: (260, 260, 150)
BraTS-MEN-RT-0193-1 shapes → img: (380, 380, 283), bet: (380, 380, 283), gtv: (380, 380, 283)
BraTS-MEN-RT-0196-1 shapes → img: (260, 260, 201), bet: (260, 260, 201), gtv: (260, 260, 201)
BraTS-MEN-RT-0197-1 shapes → img: (259, 259, 180), bet: (259, 259, 180), gtv: (259, 259, 180)
BraTS-MEN-RT-0198-1 shapes → img: (259, 259, 180), bet: (259, 259, 180), gtv: (259, 259, 180)
BraTS-MEN-RT-0199-1 shapes → img: (260, 260, 170), bet: (260, 260, 170), gtv: (260, 260, 170)
BraTS-MEN-RT-0200-1 shapes → img: (260, 260, 162), bet: (260, 260, 162), gtv: (260, 260, 162)
BraTS-MEN-RT-0202-1 shapes → img: (380, 380, 290), bet: (380, 380, 290), gtv: (380, 380, 290)
BraTS-MEN-RT-0203-1 shapes → img: (201, 230, 172), bet: (201, 230, 172), gtv: (201, 230, 172)
BraTS-MEN-RT-0206-1 shapes → img: (259, 259, 179), bet: (259, 259, 179), gtv: (259, 259, 179)
BraTS-MEN-RT-0208-1 shapes → img: (229, 230, 176), bet: (229, 230, 176), gtv: (229, 230, 176)
BraTS-MEN-RT-0209-1 shapes → img: (269, 269, 180), bet: (269, 269, 180), gtv: (269, 269, 180)
BraTS-MEN-RT-0210-1 shapes → img: (260, 260, 177), bet: (260, 260, 177), gtv: (260, 260, 177)
BraTS-MEN-RT-0211-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0212-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0215-1 shapes → img: (254, 254, 223), bet: (254, 254, 223), gtv: (254, 254, 223)
BraTS-MEN-RT-0216-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0217-1 shapes → img: (279, 279, 169), bet: (279, 279, 169), gtv: (279, 279, 169)
BraTS-MEN-RT-0220-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0221-1 shapes → img: (270, 270, 184), bet: (270, 270, 184), gtv: (270, 270, 184)
BraTS-MEN-RT-0222-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0223-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0224-1 shapes → img: (254, 254, 213), bet: (254, 254, 213), gtv: (254, 254, 213)
BraTS-MEN-RT-0225-1 shapes → img: (260, 260, 170), bet: (260, 260, 170), gtv: (260, 260, 170)
BraTS-MEN-RT-0226-1 shapes → img: (250, 250, 172), bet: (250, 250, 172), gtv: (250, 250, 172)
BraTS-MEN-RT-0227-1 shapes → img: (259, 259, 181), bet: (259, 259, 181), gtv: (259, 259, 181)
BraTS-MEN-RT-0229-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0230-1 shapes → img: (380, 380, 298), bet: (380, 380, 298), gtv: (380, 380, 298)
BraTS-MEN-RT-0232-1 shapes → img: (380, 380, 271), bet: (380, 380, 271), gtv: (380, 380, 271)
BraTS-MEN-RT-0234-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0235-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0236-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0241-1 shapes → img: (260, 260, 211), bet: (260, 260, 211), gtv: (260, 260, 211)
BraTS-MEN-RT-0247-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0249-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0250-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0251-1 shapes → img: (250, 250, 240), bet: (250, 250, 240), gtv: (250, 250, 240)
BraTS-MEN-RT-0252-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0255-1 shapes → img: (250, 250, 202), bet: (250, 250, 202), gtv: (250, 250, 202)
BraTS-MEN-RT-0257-1 shapes → img: (380, 380, 310), bet: (380, 380, 310), gtv: (380, 380, 310)
BraTS-MEN-RT-0258-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0260-1 shapes → img: (270, 270, 184), bet: (270, 270, 184), gtv: (270, 270, 184)
BraTS-MEN-RT-0263-1 shapes → img: (260, 260, 164), bet: (260, 260, 164), gtv: (260, 260, 164)
BraTS-MEN-RT-0268-1 shapes → img: (250, 250, 186), bet: (250, 250, 186), gtv: (250, 250, 186)
BraTS-MEN-RT-0270-1 shapes → img: (380, 380, 317), bet: (380, 380, 317), gtv: (380, 380, 317)
BraTS-MEN-RT-0271-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0273-1 shapes → img: (259, 259, 173), bet: (259, 259, 173), gtv: (259, 259, 173)
BraTS-MEN-RT-0274-1 shapes → img: (250, 250, 184), bet: (250, 250, 184), gtv: (250, 250, 184)
BraTS-MEN-RT-0275-1 shapes → img: (254, 254, 229), bet: (254, 254, 229), gtv: (254, 254, 229)
BraTS-MEN-RT-0279-1 shapes → img: (260, 260, 180), bet: (260, 260, 180), gtv: (260, 260, 180)
BraTS-MEN-RT-0280-1 shapes → img: (250, 250, 187), bet: (250, 250, 187), gtv: (250, 250, 187)
BraTS-MEN-RT-0281-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0282-1 shapes → img: (250, 250, 240), bet: (250, 250, 240), gtv: (250, 250, 240)
BraTS-MEN-RT-0283-1 shapes → img: (239, 239, 200), bet: (239, 239, 200), gtv: (239, 239, 200)
BraTS-MEN-RT-0284-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0285-1 shapes → img: (250, 250, 199), bet: (250, 250, 199), gtv: (250, 250, 199)
BraTS-MEN-RT-0286-1 shapes → img: (260, 260, 156), bet: (260, 260, 156), gtv: (260, 260, 156)
BraTS-MEN-RT-0289-1 shapes → img: (250, 250, 223), bet: (250, 250, 223), gtv: (250, 250, 223)
BraTS-MEN-RT-0290-1 shapes → img: (239, 239, 192), bet: (239, 239, 192), gtv: (239, 239, 192)
BraTS-MEN-RT-0294-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0295-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0297-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0298-1 shapes → img: (380, 380, 188), bet: (380, 380, 188), gtv: (380, 380, 188)
