patient_id,phase,x_min,x_max,y_min,y_max
BraTS-MEN-RT-0078-1,train,56,197,26,197
BraTS-MEN-RT-0079-1,train,55,201,18,182
BraTS-MEN-RT-0080-1,train,79,209,51,225
BraTS-MEN-RT-0081-1,train,56,199,26,212
BraTS-MEN-RT-0082-1,train,125,262,87,253
BraTS-MEN-RT-0084-1,train,61,202,30,209
BraTS-MEN-RT-0085-1,train,44,186,40,212
BraTS-MEN-RT-0088-1,train,48,206,34,209
BraTS-MEN-RT-0089-1,train,52,187,49,203
BraTS-MEN-RT-0091-1,train,54,201,42,211
BraTS-MEN-RT-0093-1,train,58,207,40,210
BraTS-MEN-RT-0094-1,train,120,264,76,253
BraTS-MEN-RT-0097-1,train,55,196,33,222
BraTS-MEN-RT-0099-1,train,58,195,23,192
BraTS-MEN-RT-0101-1,train,44,192,15,190
BraTS-MEN-RT-0102-1,train,54,198,25,200
BraTS-MEN-RT-0103-1,train,52,201,29,219
BraTS-MEN-RT-0104-1,train,60,196,26,197
BraTS-MEN-RT-0105-1,train,119,262,72,260
BraTS-MEN-RT-0106-1,train,52,201,38,220
BraTS-MEN-RT-0107-1,train,52,198,43,214
BraTS-MEN-RT-0110-1,train,34,183,16,189
BraTS-MEN-RT-0112-1,train,53,203,24,209
BraTS-MEN-RT-0113-1,train,63,204,38,211
BraTS-MEN-RT-0114-1,train,62,201,37,212
BraTS-MEN-RT-0116-1,train,50,193,31,202
BraTS-MEN-RT-0117-1,train,43,191,28,205
BraTS-MEN-RT-0119-1,train,44,206,23,199
BraTS-MEN-RT-0120-1,train,63,207,40,205
BraTS-MEN-RT-0122-1,train,65,201,28,203
BraTS-MEN-RT-0124-1,train,46,194,22,193
BraTS-MEN-RT-0125-1,train,54,202,35,210
BraTS-MEN-RT-0126-1,train,59,207,35,202
BraTS-MEN-RT-0127-1,train,49,194,24,208
BraTS-MEN-RT-0128-1,train,59,200,42,221
BraTS-MEN-RT-0129-1,train,51,192,38,199
BraTS-MEN-RT-0130-1,train,61,198,41,214
BraTS-MEN-RT-0131-1,train,62,200,47,215
BraTS-MEN-RT-0132-1,train,58,197,27,202
BraTS-MEN-RT-0134-1,train,64,197,26,206
BraTS-MEN-RT-0136-1,train,62,203,49,216
BraTS-MEN-RT-0137-1,train,123,259,94,270
BraTS-MEN-RT-0140-1,train,54,191,25,199
BraTS-MEN-RT-0141-1,train,56,206,36,217
BraTS-MEN-RT-0142-1,train,120,255,109,276
BraTS-MEN-RT-0143-1,train,57,198,28,207
BraTS-MEN-RT-0144-1,train,61,197,41,206
BraTS-MEN-RT-0146-1,train,61,203,34,214
BraTS-MEN-RT-0147-1,train,55,192,13,190
BraTS-MEN-RT-0148-1,train,11,158,36,208
BraTS-MEN-RT-0149-1,train,60,202,30,212
BraTS-MEN-RT-0150-1,train,56,200,28,208
BraTS-MEN-RT-0151-1,train,55,193,34,200
BraTS-MEN-RT-0153-1,train,116,261,89,276
BraTS-MEN-RT-0154-1,train,62,208,43,218
BraTS-MEN-RT-0155-1,train,53,199,19,210
BraTS-MEN-RT-0156-1,train,52,204,22,211
BraTS-MEN-RT-0157-1,train,52,200,37,201
BraTS-MEN-RT-0158-1,train,39,185,9,179
BraTS-MEN-RT-0159-1,train,55,194,22,178
BraTS-MEN-RT-0160-1,train,120,253,96,277
BraTS-MEN-RT-0161-1,train,24,164,23,199
BraTS-MEN-RT-0166-1,train,50,186,10,192
BraTS-MEN-RT-0167-1,train,114,262,78,258
BraTS-MEN-RT-0168-1,train,62,205,33,211
BraTS-MEN-RT-0171-1,train,59,206,15,205
BraTS-MEN-RT-0173-1,train,47,185,25,195
BraTS-MEN-RT-0174-1,train,119,273,83,257
BraTS-MEN-RT-0175-1,train,115,263,85,272
BraTS-MEN-RT-0176-1,train,64,198,39,212
BraTS-MEN-RT-0177-1,train,58,201,29,211
BraTS-MEN-RT-0178-1,train,120,259,101,276
BraTS-MEN-RT-0179-1,train,60,199,44,209
BraTS-MEN-RT-0180-1,train,60,199,27,192
BraTS-MEN-RT-0181-1,train,49,193,25,195
BraTS-MEN-RT-0184-1,train,62,199,26,191
BraTS-MEN-RT-0185-1,train,48,190,12,203
BraTS-MEN-RT-0188-1,train,49,195,11,207
BraTS-MEN-RT-0189-1,train,55,198,36,197
BraTS-MEN-RT-0190-1,train,57,204,13,212
BraTS-MEN-RT-0191-1,train,55,200,40,211
BraTS-MEN-RT-0192-1,train,62,209,37,206
BraTS-MEN-RT-0193-1,train,118,268,78,251
BraTS-MEN-RT-0196-1,train,57,202,34,205
BraTS-MEN-RT-0197-1,train,60,201,29,201
BraTS-MEN-RT-0198-1,train,58,196,35,213
BraTS-MEN-RT-0199-1,train,62,203,33,207
BraTS-MEN-RT-0200-1,train,61,206,38,196
BraTS-MEN-RT-0202-1,train,114,265,77,250
BraTS-MEN-RT-0203-1,train,26,172,7,183
BraTS-MEN-RT-0206-1,train,55,207,25,208
BraTS-MEN-RT-0208-1,train,42,186,14,178
BraTS-MEN-RT-0209-1,train,64,204,17,214
BraTS-MEN-RT-0210-1,train,58,200,41,194
BraTS-MEN-RT-0211-1,train,64,206,38,214
BraTS-MEN-RT-0212-1,train,52,185,25,189
BraTS-MEN-RT-0215-1,train,55,194,34,209
BraTS-MEN-RT-0216-1,train,57,196,18,192
BraTS-MEN-RT-0217-1,train,64,215,40,223
BraTS-MEN-RT-0220-1,train,56,200,44,207
BraTS-MEN-RT-0221-1,train,55,205,46,224
BraTS-MEN-RT-0222-1,train,57,205,51,210
BraTS-MEN-RT-0223-1,train,59,200,31,197
BraTS-MEN-RT-0224-1,train,57,202,40,209
BraTS-MEN-RT-0225-1,train,57,203,43,214
BraTS-MEN-RT-0226-1,train,53,196,19,169
BraTS-MEN-RT-0227-1,train,64,202,42,217
BraTS-MEN-RT-0229-1,train,53,205,36,214
BraTS-MEN-RT-0230-1,train,115,264,100,284
BraTS-MEN-RT-0232-1,train,116,256,85,241
BraTS-MEN-RT-0234-1,train,64,201,32,209
BraTS-MEN-RT-0235-1,train,47,189,22,203
BraTS-MEN-RT-0236-1,train,56,203,24,195
BraTS-MEN-RT-0241-1,train,64,205,39,199
BraTS-MEN-RT-0247-1,train,55,198,20,192
BraTS-MEN-RT-0249-1,train,41,199,12,186
BraTS-MEN-RT-0250-1,train,56,200,25,199
BraTS-MEN-RT-0251-1,train,60,197,35,198
BraTS-MEN-RT-0252-1,train,63,198,44,223
BraTS-MEN-RT-0255-1,train,58,195,45,204
BraTS-MEN-RT-0257-1,train,125,263,80,256
BraTS-MEN-RT-0258-1,train,66,208,48,218
BraTS-MEN-RT-0260-1,train,59,215,15,197
BraTS-MEN-RT-0263-1,train,58,196,31,203
BraTS-MEN-RT-0268-1,train,47,195,30,213
BraTS-MEN-RT-0270-1,train,116,262,108,292
BraTS-MEN-RT-0271-1,train,46,186,12,188
BraTS-MEN-RT-0273-1,train,58,214,31,214
BraTS-MEN-RT-0274-1,train,55,191,15,199
BraTS-MEN-RT-0275-1,train,52,197,32,201
BraTS-MEN-RT-0279-1,train,66,200,34,209
BraTS-MEN-RT-0280-1,train,44,196,33,211
BraTS-MEN-RT-0281-1,train,53,204,35,197
BraTS-MEN-RT-0282-1,train,51,202,12,198
BraTS-MEN-RT-0283-1,train,49,184,29,194
BraTS-MEN-RT-0284-1,train,49,203,37,208
BraTS-MEN-RT-0286-1,train,67,206,32,212
BraTS-MEN-RT-0289-1,train,55,199,33,200
BraTS-MEN-RT-0290-1,train,50,189,25,199
BraTS-MEN-RT-0294-1,train,44,189,15,193
BraTS-MEN-RT-0295-1,train,49,188,18,185
BraTS-MEN-RT-0297-1,train,55,203,36,201
BraTS-MEN-RT-0298-1,train,123,260,116,297
BraTS-MEN-RT-0299-1,train,51,187,19,193
BraTS-MEN-RT-0300-1,train,58,204,31,216
BraTS-MEN-RT-0301-1,train,57,199,24,202
BraTS-MEN-RT-0302-1,train,61,208,38,226
BraTS-MEN-RT-0303-1,train,129,273,95,268
BraTS-MEN-RT-0305-1,train,60,194,36,206
BraTS-MEN-RT-0306-1,train,65,199,37,217
BraTS-MEN-RT-0309-1,train,66,200,35,204
BraTS-MEN-RT-0310-1,train,55,200,46,208
BraTS-MEN-RT-0311-1,train,54,196,23,180
BraTS-MEN-RT-0312-1,train,47,187,42,200
BraTS-MEN-RT-0313-1,train,50,205,25,211
BraTS-MEN-RT-0314-1,train,49,206,25,201
BraTS-MEN-RT-0315-1,train,49,208,32,226
BraTS-MEN-RT-0316-1,train,55,201,24,214
BraTS-MEN-RT-0317-1,train,54,204,36,212
BraTS-MEN-RT-0318-1,train,54,197,46,220
BraTS-MEN-RT-0319-1,train,54,197,21,194
BraTS-MEN-RT-0321-1,train,122,255,108,291
BraTS-MEN-RT-0322-1,train,45,193,25,201
BraTS-MEN-RT-0325-1,train,58,205,18,192
BraTS-MEN-RT-0326-1,train,39,194,14,190
BraTS-MEN-RT-0330-1,train,45,196,10,188
BraTS-MEN-RT-0332-1,train,57,201,39,194
BraTS-MEN-RT-0335-1,train,51,194,36,204
BraTS-MEN-RT-0336-1,train,57,199,38,204
BraTS-MEN-RT-0338-1,train,56,200,49,210
BraTS-MEN-RT-0339-1,train,47,204,31,212
BraTS-MEN-RT-0340-1,train,55,194,22,190
BraTS-MEN-RT-0342-1,train,48,194,10,190
BraTS-MEN-RT-0344-1,train,58,211,38,219
BraTS-MEN-RT-0347-1,train,114,262,77,250
BraTS-MEN-RT-0350-1,train,49,202,28,212
BraTS-MEN-RT-0351-1,train,54,195,43,214
BraTS-MEN-RT-0354-1,train,52,193,23,210
BraTS-MEN-RT-0355-1,train,51,204,24,192
BraTS-MEN-RT-0356-1,train,53,204,36,221
BraTS-MEN-RT-0358-1,train,58,200,34,209
BraTS-MEN-RT-0360-1,train,54,190,36,210
BraTS-MEN-RT-0361-1,train,61,203,30,205
BraTS-MEN-RT-0363-1,train,55,199,22,199
BraTS-MEN-RT-0365-1,train,60,198,35,212
BraTS-MEN-RT-0369-1,train,64,206,47,225
BraTS-MEN-RT-0370-1,train,41,196,17,180
BraTS-MEN-RT-0372-1,train,54,196,26,212
BraTS-MEN-RT-0373-1,train,60,198,38,210
BraTS-MEN-RT-0374-1,train,66,208,48,218
BraTS-MEN-RT-0375-1,train,59,213,31,212
BraTS-MEN-RT-0377-1,train,55,202,24,222
BraTS-MEN-RT-0378-1,train,53,192,45,211
BraTS-MEN-RT-0380-1,train,68,198,39,202
BraTS-MEN-RT-0382-1,train,50,191,17,198
BraTS-MEN-RT-0383-1,train,50,198,25,210
BraTS-MEN-RT-0384-1,train,57,196,31,212
BraTS-MEN-RT-0387-1,train,64,213,47,226
BraTS-MEN-RT-0388-1,train,57,195,29,187
BraTS-MEN-RT-0390-1,train,56,202,18,196
BraTS-MEN-RT-0391-1,train,45,186,20,188
BraTS-MEN-RT-0392-1,train,53,188,9,187
BraTS-MEN-RT-0393-1,train,57,200,11,182
BraTS-MEN-RT-0394-1,train,46,191,9,182
BraTS-MEN-RT-0395-1,train,125,262,86,259
BraTS-MEN-RT-0397-1,train,66,197,37,203
BraTS-MEN-RT-0400-1,train,53,201,22,191
BraTS-MEN-RT-0401-1,train,51,198,28,204
BraTS-MEN-RT-0402-1,train,54,188,11,188
BraTS-MEN-RT-0405-1,train,41,199,13,192
BraTS-MEN-RT-0406-1,train,55,201,45,214
BraTS-MEN-RT-0409-1,train,38,191,9,181
BraTS-MEN-RT-0410-1,train,61,198,21,189
BraTS-MEN-RT-0411-1,train,57,200,35,204
BraTS-MEN-RT-0412-1,train,60,202,15,198
BraTS-MEN-RT-0413-1,train,51,191,27,194
BraTS-MEN-RT-0414-1,train,48,196,42,215
BraTS-MEN-RT-0415-1,train,65,204,42,216
BraTS-MEN-RT-0418-1,train,57,195,36,205
BraTS-MEN-RT-0419-1,train,59,202,35,209
BraTS-MEN-RT-0420-1,train,55,195,15,175
BraTS-MEN-RT-0421-1,train,54,190,34,195
BraTS-MEN-RT-0422-1,train,45,197,13,221
BraTS-MEN-RT-0423-1,train,66,217,35,226
BraTS-MEN-RT-0424-1,train,120,255,83,250
BraTS-MEN-RT-0425-1,train,56,205,45,209
BraTS-MEN-RT-0426-1,train,125,259,84,252
BraTS-MEN-RT-0429-1,train,63,206,44,221
BraTS-MEN-RT-0430-1,train,124,265,83,262
BraTS-MEN-RT-0431-1,train,51,195,38,204
BraTS-MEN-RT-0433-1,train,55,196,38,205
BraTS-MEN-RT-0434-1,train,62,204,40,200
BraTS-MEN-RT-0436-1,train,54,203,24,216
BraTS-MEN-RT-0438-1,train,52,204,23,198
BraTS-MEN-RT-0439-1,train,65,213,41,225
BraTS-MEN-RT-0441-1,train,46,179,36,211
BraTS-MEN-RT-0442-1,train,52,206,28,200
BraTS-MEN-RT-0443-1,train,117,263,83,259
BraTS-MEN-RT-0445-1,train,57,208,30,208
BraTS-MEN-RT-0447-1,train,60,194,41,207
BraTS-MEN-RT-0448-1,train,62,199,20,185
BraTS-MEN-RT-0449-1,train,60,211,36,216
BraTS-MEN-RT-0450-1,train,59,202,34,215
BraTS-MEN-RT-0451-1,train,60,202,34,192
BraTS-MEN-RT-0452-1,train,44,182,12,193
BraTS-MEN-RT-0453-1,train,57,197,30,213
BraTS-MEN-RT-0454-1,train,55,197,34,208
BraTS-MEN-RT-0455-1,train,41,179,45,207
BraTS-MEN-RT-0456-1,train,60,195,23,201
BraTS-MEN-RT-0457-1,train,53,194,56,217
BraTS-MEN-RT-0458-1,train,45,189,9,184
BraTS-MEN-RT-0459-1,train,64,205,30,198
BraTS-MEN-RT-0460-1,train,43,190,7,173
BraTS-MEN-RT-0462-1,train,56,207,49,213
BraTS-MEN-RT-0463-1,train,60,200,32,208
BraTS-MEN-RT-0465-1,train,57,196,38,217
BraTS-MEN-RT-0467-1,train,60,205,40,212
BraTS-MEN-RT-0468-1,train,54,194,18,204
BraTS-MEN-RT-0469-1,train,12,156,37,222
BraTS-MEN-RT-0470-1,train,44,191,9,187
BraTS-MEN-RT-0471-1,train,52,195,38,205
BraTS-MEN-RT-0473-1,train,55,204,47,227
BraTS-MEN-RT-0475-1,train,62,201,49,213
BraTS-MEN-RT-0478-1,train,106,258,82,264
BraTS-MEN-RT-0479-1,train,11,150,20,203
BraTS-MEN-RT-0481-1,train,60,202,29,200
BraTS-MEN-RT-0482-1,train,52,195,32,191
BraTS-MEN-RT-0483-1,train,58,194,33,206
BraTS-MEN-RT-0484-1,train,53,201,25,194
BraTS-MEN-RT-0485-1,train,50,200,9,199
BraTS-MEN-RT-0488-1,train,64,207,43,214
BraTS-MEN-RT-0489-1,train,47,192,16,175
BraTS-MEN-RT-0490-1,train,58,198,22,198
BraTS-MEN-RT-0491-1,train,54,201,39,208
BraTS-MEN-RT-0493-1,train,57,200,41,203
BraTS-MEN-RT-0497-1,train,51,196,28,207
BraTS-MEN-RT-0498-1,train,60,200,20,194
BraTS-MEN-RT-0500-1,train,70,207,54,221
BraTS-MEN-RT-0503-1,train,50,200,26,195
BraTS-MEN-RT-0505-1,train,48,206,50,217
BraTS-MEN-RT-0506-1,train,58,205,26,201
BraTS-MEN-RT-0507-1,train,58,202,29,209
BraTS-MEN-RT-0508-1,train,61,204,24,198
BraTS-MEN-RT-0509-1,train,50,189,42,213
BraTS-MEN-RT-0510-1,train,69,210,48,215
BraTS-MEN-RT-0513-1,train,115,274,117,273
BraTS-MEN-RT-0516-1,train,52,194,34,213
BraTS-MEN-RT-0517-1,train,61,202,39,223
BraTS-MEN-RT-0520-1,train,123,250,116,299
BraTS-MEN-RT-0522-1,train,121,259,87,262
BraTS-MEN-RT-0524-1,train,64,207,31,206
BraTS-MEN-RT-0526-1,train,61,202,44,204
BraTS-MEN-RT-0531-1,train,60,197,18,182
BraTS-MEN-RT-0533-1,train,63,212,23,213
BraTS-MEN-RT-0534-1,train,53,191,31,213
BraTS-MEN-RT-0536-1,train,48,197,8,179
BraTS-MEN-RT-0537-1,train,121,261,83,265
BraTS-MEN-RT-0542-1,train,61,194,18,188
BraTS-MEN-RT-0543-1,train,58,201,34,205
BraTS-MEN-RT-0544-1,train,64,197,34,203
BraTS-MEN-RT-0545-1,train,55,203,23,200
BraTS-MEN-RT-0546-1,train,52,182,13,188
BraTS-MEN-RT-0547-1,train,51,194,24,198
BraTS-MEN-RT-0548-1,train,55,204,17,196
BraTS-MEN-RT-0549-1,train,63,203,55,238
BraTS-MEN-RT-0550-1,train,56,197,31,205
BraTS-MEN-RT-0551-1,train,46,188,14,175
BraTS-MEN-RT-0554-1,train,55,205,17,184
BraTS-MEN-RT-0555-1,train,61,202,27,208
BraTS-MEN-RT-0557-1,train,60,205,44,219
BraTS-MEN-RT-0558-1,train,59,201,28,205
BraTS-MEN-RT-0559-1,train,119,259,113,288
BraTS-MEN-RT-0560-1,train,48,187,10,188
BraTS-MEN-RT-0561-1,train,54,204,57,216
BraTS-MEN-RT-0562-1,train,47,191,39,224
BraTS-MEN-RT-0564-1,train,60,194,40,205
BraTS-MEN-RT-0565-1,train,71,212,43,223
BraTS-MEN-RT-0566-1,train,60,202,38,203
BraTS-MEN-RT-0567-1,train,60,199,50,220
BraTS-MEN-RT-0569-1,train,58,208,47,216
BraTS-MEN-RT-0570-1,train,58,199,40,216
BraTS-MEN-RT-0573-1,train,57,201,22,203
BraTS-MEN-RT-0574-1,train,46,201,36,217
BraTS-MEN-RT-0578-1,train,54,197,42,202
BraTS-MEN-RT-0579-1,train,64,214,51,223
BraTS-MEN-RT-0580-1,train,123,259,100,272
BraTS-MEN-RT-0582-1,train,54,204,14,200
BraTS-MEN-RT-0583-1,train,59,202,20,190
BraTS-MEN-RT-0584-1,train,44,189,11,198
BraTS-MEN-RT-0586-1,train,121,260,100,265
BraTS-MEN-RT-0587-1,train,56,199,28,216
BraTS-MEN-RT-0588-1,train,55,206,28,214
BraTS-MEN-RT-0589-1,train,62,199,18,188
BraTS-MEN-RT-0591-1,train,58,192,32,204
BraTS-MEN-RT-0593-1,train,54,197,29,199
BraTS-MEN-RT-0596-1,train,52,202,37,219
BraTS-MEN-RT-0598-1,train,60,196,30,202
BraTS-MEN-RT-0599-1,train,124,260,81,263
BraTS-MEN-RT-0600-1,train,62,207,27,214
BraTS-MEN-RT-0601-1,train,66,207,28,204
BraTS-MEN-RT-0603-1,train,64,197,26,206
BraTS-MEN-RT-0605-1,train,58,185,37,209
BraTS-MEN-RT-0607-1,train,56,191,34,205
BraTS-MEN-RT-0608-1,train,67,219,37,220
BraTS-MEN-RT-0609-1,train,54,197,30,210
BraTS-MEN-RT-0611-1,train,53,182,18,190
BraTS-MEN-RT-0612-1,train,62,197,43,212
BraTS-MEN-RT-0614-1,train,61,200,35,198
BraTS-MEN-RT-0615-1,train,53,205,36,214
BraTS-MEN-RT-0616-1,train,48,195,47,223
BraTS-MEN-RT-0617-1,train,48,195,17,193
BraTS-MEN-RT-0618-1,train,57,200,20,209
BraTS-MEN-RT-0619-1,train,60,200,20,195
BraTS-MEN-RT-0620-1,train,58,201,31,209
BraTS-MEN-RT-0623-1,train,63,206,36,221
BraTS-MEN-RT-0625-1,train,59,207,17,205
BraTS-MEN-RT-0028-1,val,59,206,44,213
BraTS-MEN-RT-0090-1,val,52,194,14,203
BraTS-MEN-RT-0100-1,val,117,261,109,293
BraTS-MEN-RT-0135-1,val,55,199,25,202
BraTS-MEN-RT-0152-1,val,54,186,17,186
BraTS-MEN-RT-0170-1,val,54,193,25,197
BraTS-MEN-RT-0172-1,val,65,199,31,208
BraTS-MEN-RT-0186-1,val,56,207,26,210
BraTS-MEN-RT-0187-1,val,56,204,15,202
BraTS-MEN-RT-0194-1,val,62,198,26,205
BraTS-MEN-RT-0195-1,val,56,203,36,209
BraTS-MEN-RT-0231-1,val,51,190,25,200
BraTS-MEN-RT-0242-1,val,48,204,41,224
BraTS-MEN-RT-0245-1,val,60,203,53,217
BraTS-MEN-RT-0254-1,val,61,203,30,209
BraTS-MEN-RT-0261-1,val,46,195,10,190
BraTS-MEN-RT-0267-1,val,66,203,45,221
BraTS-MEN-RT-0291-1,val,53,199,34,203
BraTS-MEN-RT-0296-1,val,117,267,80,275
BraTS-MEN-RT-0334-1,val,53,205,49,215
BraTS-MEN-RT-0337-1,val,49,196,14,192
BraTS-MEN-RT-0343-1,val,62,201,39,205
BraTS-MEN-RT-0348-1,val,64,203,30,204
BraTS-MEN-RT-0364-1,val,41,178,11,165
BraTS-MEN-RT-0376-1,val,61,197,20,199
BraTS-MEN-RT-0396-1,val,55,198,36,205
BraTS-MEN-RT-0404-1,val,61,199,35,219
BraTS-MEN-RT-0417-1,val,57,208,9,189
BraTS-MEN-RT-0428-1,val,47,188,10,192
BraTS-MEN-RT-0435-1,val,52,201,34,207
BraTS-MEN-RT-0440-1,val,46,201,39,214
BraTS-MEN-RT-0444-1,val,60,189,41,209
BraTS-MEN-RT-0464-1,val,60,202,45,211
BraTS-MEN-RT-0476-1,val,59,209,19,200
BraTS-MEN-RT-0486-1,val,60,199,29,210
BraTS-MEN-RT-0495-1,val,44,185,16,184
BraTS-MEN-RT-0519-1,val,63,202,26,192
BraTS-MEN-RT-0525-1,val,61,210,45,215
BraTS-MEN-RT-0528-1,val,59,203,25,203
BraTS-MEN-RT-0532-1,val,56,193,18,192
BraTS-MEN-RT-0539-1,val,117,260,89,252
BraTS-MEN-RT-0553-1,val,51,194,15,187
BraTS-MEN-RT-0572-1,val,45,182,11,181
BraTS-MEN-RT-0594-1,val,43,192,34,205
BraTS-MEN-RT-0621-1,val,77,211,48,208
